"Linking your Facebook account will let you login with Facebook and publish content to your Facebook wall.";"Linking your Facebook account will let you login with Facebook and publish content to your Facebook wall."

"Profile Information";"Profile Information"
"Add Your Photo";"Add Your Photo"

"Approve Friend Request";"Approve Friend Request"
"Available Networks";"Available Networks"
"There are currently no avaliable networks to join.";"There are currently no avaliable networks to join."
"There are no networks containing that keyword.";"There are no networks containing that keyword."
"Leaving Network...";"Leaving Network..."
"Joining Network...";"Joining Network..."
"Start typing to filter...";"Start typing to filter..."

"_EMAIL_NOTIFY_ADMIN_SIGNUP";"Admin signup notification"
"_EMAIL_NOTIFY_ADMIN_SIGNUP_DESCRIPTION";"This email is sent to the admin when an new member joins when ""Auto-approve Members"" is disabled."
"_EMAIL_NOTIFY_ADMIN_SIGNUP_SUBJECT";"A new user is pending your approval"
"_EMAIL_NOTIFY_ADMIN_SIGNUP_BODY";"[header]

Please login to the admin panel to aprovie this user.

[footer]"

"This account still requires admin approval.";"This account still requires admin approval."
"Your account has been verified. Please wait to be redirected or click %s to login.";"Your account has been verified. Please wait to be redirected or click %s to login."
"Browser cookies are required to login.";"Browser cookies are required to login."

"Single";"Single"
"In a Relationship";"In a Relationship"
"Engaged";"Engaged"
"Married";"Married"
"It's Complicated";"It's Complicated"
"In an Open Relationship";"In an Open Relationship"
"Widowed";"Widowed"
"Facebook account you're trying to connect is already connected to another account.";"Facebook account you're trying to connect is already connected to another account."
"Super Admins can't be deleted.";"Super Admins can't be deleted."

"Accept Request";"Accept Request"
